,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
4263,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,121.35473898825221,1.4948238096192519,0.10315533194126525,0.020526055415681213,0.7556989247311827,0.13050474219889363,0.9723204994797087,0.3928592050638126,1.0,189.15965185927263,1.8232438486072278,0.10172522906302593,0.01726769851236679,0.7623655913978494,0.10703000437401515,0.9802289281997918,0.37673803208776663,1.0,2.0827895673705674,-0.12730383491500608,0.08294437960531284,0.014940718643883431,0.8711827956989248,0.01900056245114221,0.8396462018730488,0.02537973312293979,3.0,17.33944959036475,0.47162153557168185,0.0858233538940949,0.011255091701379153,0.9075268817204301,0.005462649268744608,0.7378772112382934,0.024646264734276422,1.0
4264,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,149.4766760811148,1.6585304464455939,0.10409066120227443,0.019673887290719186,0.7623655913978494,0.1389583700754899,0.9771592091571281,0.36154350369481286,2.0,161.49721105959398,1.6783467033686676,0.10084844526491174,0.0169464390250118,0.7675268817204302,0.10283573414325162,0.9752341311134234,0.4611214453939766,2.0,2.922818583497412,-0.1595290525908804,0.08280304944325037,0.015736298127973884,0.858709677419355,0.019759667741234548,0.841831425598335,0.03011011657326287,1.0,14.125284064375865,0.4187527805135552,0.08516470557426478,0.011100049740370288,0.912258064516129,0.0053969532813793915,0.7264828303850156,0.03168192627641004,1.0
4265,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,119.4643741575973,1.4688784646778537,0.10197614118265204,0.020471583241070134,0.7587096774193547,0.11886240391654077,0.9777315296566076,0.3566900965935532,1.0,143.2457500120361,1.569146354291456,0.09963744986273583,0.0172778717752159,0.7688172043010754,0.10135690295856077,0.9782518210197712,0.4187509479015971,1.0,1.835331451921213,-0.11631677891523011,0.08274194442123045,0.01510155831380563,0.872258064516129,0.018689513615262207,0.8407908428720084,0.030573467150485083,3.0,21.66801353028124,0.5368668192493694,0.08675027322113295,0.011358064250610837,0.9139784946236559,0.009013767090600968,0.7248699271592092,0.026626232284862446,1.0
4266,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,126.42360346393058,1.5395242321182845,0.10436379378448878,0.020140310514303462,0.7488172043010751,0.1459669506245886,0.9781477627471384,0.3579419137180562,2.0,183.94007723005933,1.8043089978264055,0.10203603026539801,0.018962161370341526,0.7554838709677419,0.1124848168751553,0.9785119667013527,0.3663412010972162,1.0,0.0628409386089453,0.006276424168774932,0.0823467726189175,0.014063484497702368,0.8767741935483871,0.015867296956066236,0.8421956295525493,0.029187097657055946,1.0,18.965172770699635,0.49430604916154536,0.08574121962678945,0.011259435140080274,0.9129032258064514,0.00660073739154674,0.7599895941727367,0.02684826215433299,2.0
4267,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,119.34750629101157,1.4505406664497995,0.10086612790382044,0.01810076658176105,0.7703225806451612,0.12005276205748464,0.9698231009365245,0.17812183286511332,1.0,172.07907384578948,1.7103681959671186,0.0997138930911428,0.016963620684192448,0.7686021505376343,0.10294280050621858,0.9803850156087408,0.24138641460770774,1.0,1.2252969504867959,-0.08687089096275494,0.08275154850158074,0.016121570068919767,0.8589247311827958,0.01801109029365053,0.8446409989594172,0.02711461319736859,1.0,18.932839193000454,0.49412662746850206,0.08577540315821927,0.010173168301643378,0.9197849462365593,0.006086586101484464,0.6983350676378771,0.027474108663358324,1.0
4268,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,138.93169983445537,1.6123007106546936,0.1048717947992243,0.01984463997242324,0.7621505376344087,0.13889463197803004,0.976534859521332,0.2588987049967596,1.0,173.04058208890828,1.7089454549668113,0.09956695866580459,0.01594166651770102,0.7724731182795698,0.09539103136960668,0.9772632674297608,0.20970987102815095,2.0,3.095447437366665,-0.165384714698272,0.08268987231533495,0.014665333878786192,0.8640860215053764,0.01982616688949188,0.8444849115504682,0.030904391852986015,1.0,24.338266581514,0.5699716385737726,0.08664166443434028,0.011401126467242916,0.909247311827957,0.009561910931778612,0.7702913631633715,0.02494457816290378,2.0
4269,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,130.20316200402624,1.5383465691890434,0.10276772594171345,0.019266862614055642,0.7606451612903228,0.15132567110241207,0.9785119667013527,0.41959455527675593,1.0,164.06882344207213,1.715368890530555,0.10235297495555999,0.017577756536112196,0.76494623655914,0.09696529265771976,0.9749739854318419,0.5088189613302005,2.0,1.314510811594339,-0.09107353734938671,0.0823523163914467,0.015179389913578601,0.8634408602150537,0.017994480606444586,0.8435483870967742,0.028985874104301843,1.0,25.256086188892986,0.5791434409833437,0.08634937294314549,0.009675692185180848,0.9167741935483871,0.008781060037661444,0.7786680541103019,0.022654018079146892,1.0
4270,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,140.45979313989974,1.6020317876440768,0.10308227699989818,0.019654745531912973,0.753978494623656,0.11678885611239391,0.9782518210197712,0.1422385548491695,1.0,178.8685320340706,1.7520245080464847,0.10033215405834192,0.016215355579155825,0.7744086021505375,0.10012449451791859,0.978563995837669,0.33331109912018897,1.0,0.6616683783579688,-0.05363950074130982,0.08259054106402537,0.015357557935843025,0.8694623655913978,0.017603306945576744,0.8561914672216442,0.027622981174607788,2.0,21.131477582472925,0.5279540121020254,0.08644240564384545,0.010709354839072892,0.9159139784946236,0.008085721273999513,0.7326742976066597,0.02777278816732123,1.0
4271,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,119.07301109360695,1.4618417885802386,0.10174435295369359,0.018927857104083283,0.7679569892473117,0.12292684337760823,0.9778876170655566,0.2663582515155597,2.0,179.59535616279246,1.7967810014489325,0.10283025177925946,0.017590927059723798,0.7636559139784945,0.11207148000493437,0.9772112382934444,0.2941337296753948,1.0,0.3289526596792164,-0.029535675991918527,0.0823001595846711,0.014583398553312343,0.8765591397849464,0.016254789249728854,0.8567637877211238,0.03387689382257655,1.0,26.0737477169102,0.5903818121126174,0.08656757856597357,0.012225126050848132,0.9032258064516129,0.008500031326421065,0.7695109261186264,0.033248380237548204,3.0
4272,185,305,285,0.3791384077477772,0.8,14.114584847887876,0.41187751763753033,0.08375664470910565,137.50358219135444,1.56815538403318,0.10213767945067147,0.019583580896431682,0.763225806451613,0.132904220380445,0.9780437044745056,0.34057841480365963,1.0,177.88437522344742,1.7806407983288453,0.10240681888924773,0.01735782885751516,0.764731182795699,0.11580657267996695,0.9807492195629551,0.3894475910035035,1.0,0.49923798650944634,-0.042430620656344425,0.08249651063334411,0.015020685923534697,0.8711827956989248,0.01666868701720584,0.8663371488033299,0.028747777559099137,1.0,21.804239884066686,0.5380367206218281,0.0866762555740059,0.012148005793294007,0.9040860215053764,0.00692933006268088,0.781789802289282,0.030217993799435225,2.0
