name,type,dim,nclass
survcens,surv_piecewise,2,
RACE,cat,1,5
PTAX,cat,1,2
VMETA,cat,1,2
HR,cat,1,2
GEOREG,cat,1,3
AGEGR1,cat,1,2
ECOGGR1,cat,1,2
REGST,cat,1,2
NBSTGR1,cat,1,2
LESTYP,cat,1,2
DFIGR1,cat,1,3
ERSTGR1,cat,1,2
PRSTGR1,cat,1,2
TRPNEGFL,cat,1,2
PHTXFL,cat,1,2
PCTXFL,cat,1,2
PACTFL,cat,1,2
PAFL,cat,1,2
