J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.004893422430447007,0.9553333333333333,0.0391647241717967,0.6215555555555556,0.4538656675153103,3.0,HI-VAE_piecewise
0.005432246932162061,0.9575555555555556,0.04623015169989311,0.5642777777777779,0.43573062215111247,3.0,HI-VAE_piecewise
0.0044783607493008104,0.9688888888888888,0.03960997600261282,0.5679444444444445,0.4398121308334147,3.0,HI-VAE_piecewise
0.0051691301908726875,0.9664444444444446,0.016218721159142163,0.5325000000000001,0.38066213637636576,1.0,HI-VAE_piecewise
0.006015680645846731,0.9542222222222223,0.03797879864866995,0.5669444444444445,0.4324677557664839,1.0,HI-VAE_piecewise
0.00530847467436052,0.9626666666666667,0.02143395196606221,0.5784444444444444,0.3588771985301079,2.0,HI-VAE_piecewise
0.006520791935819439,0.953111111111111,0.04562859818592051,0.5507777777777778,0.3804620660496455,3.0,HI-VAE_piecewise
0.004673026260953803,0.9644444444444443,0.03507783805645086,0.5708888888888889,0.46495090632000635,4.0,HI-VAE_piecewise
0.005547709951048133,0.958888888888889,0.056351227910631144,0.6372222222222222,0.4261771704839955,2.0,HI-VAE_piecewise
0.005797777963490153,0.9617777777777778,0.021616801349085023,0.5517777777777778,0.49659152605928086,1.0,HI-VAE_piecewise
0.004711282950016248,0.9573333333333334,0.016268854973600182,0.5641111111111112,0.44490971403767027,3.0,HI-VAE_piecewise
0.004606639672600489,0.9662222222222222,0.03258987816534486,0.5491666666666667,0.3827090003868689,1.0,HI-VAE_piecewise
0.0066501972175598235,0.9546666666666664,0.02168407008481138,0.5557222222222222,0.4214468735558306,2.0,HI-VAE_piecewise
0.00593101978142202,0.9593333333333334,0.035215151595273456,0.5502777777777779,0.46072518613979335,4.0,HI-VAE_piecewise
0.004526946644107626,0.964,0.023401867885273882,0.5469444444444445,0.4000951636495697,4.0,HI-VAE_piecewise
0.004748218395241119,0.9640000000000001,0.034449214476363905,0.5933888888888889,0.47506631938868205,4.0,HI-VAE_piecewise
0.005455341197763721,0.9582222222222221,0.01640925724911421,0.5975555555555556,0.46840942033758365,2.0,HI-VAE_piecewise
0.004101645192027817,0.9635555555555555,0.04669173583587329,0.6240555555555556,0.38427497715835396,1.0,HI-VAE_piecewise
0.004963091479705919,0.9646666666666667,0.03292349746588106,0.5335000000000001,0.5178531158982617,4.0,HI-VAE_piecewise
0.00497141046987708,0.9671111111111113,0.017793514104210414,0.5612222222222223,0.41232384488628526,1.0,HI-VAE_piecewise
0.00499382545789825,0.9615555555555557,0.031226808857664153,0.5733333333333333,0.45732438207533194,4.0,HI-VAE_piecewise
0.006216075306426473,0.9591111111111111,0.02960661436306475,0.5717222222222221,0.4277653757382948,1.0,HI-VAE_piecewise
0.006587626155920509,0.9533333333333333,0.03952222040023011,0.6300000000000001,0.5319564071407408,2.0,HI-VAE_piecewise
0.005981238825740348,0.9584444444444444,0.025885374273482017,0.6242222222222222,0.36854108742644287,3.0,HI-VAE_piecewise
0.005821331251840622,0.9533333333333334,0.062134827393368466,0.6094444444444443,0.4702532732305876,4.0,HI-VAE_piecewise
0.005168557181165821,0.9586666666666666,0.019833718381082898,0.5594444444444445,0.320595635964594,2.0,HI-VAE_piecewise
0.005115953990124865,0.9617777777777778,0.04072935835434523,0.5654444444444444,0.42646731462859266,2.0,HI-VAE_piecewise
0.004949100105572418,0.9606666666666666,0.030556461929788503,0.5606111111111112,0.38613123837361646,3.0,HI-VAE_piecewise
0.006207743479747351,0.9553333333333334,0.03473846252848052,0.547611111111111,0.4830770617411645,2.0,HI-VAE_piecewise
0.005050571996336232,0.9617777777777777,0.03375150950543886,0.5518333333333334,0.3842095588736964,1.0,HI-VAE_piecewise
0.005598593447737819,0.9571111111111109,0.04211234836782778,0.5875,0.36899047404427693,5.0,HI-VAE_piecewise
0.004885534307224284,0.9597777777777777,0.018788090845061868,0.5950000000000001,0.31033513823101305,3.0,HI-VAE_piecewise
0.004622611499699728,0.9646666666666666,0.0344411381264524,0.5788333333333332,0.44870841405383827,3.0,HI-VAE_piecewise
0.004084299456185495,0.9644444444444443,0.023202528838940435,0.5529444444444443,0.25058499493324743,9.0,HI-VAE_piecewise
0.006261738690790408,0.9542222222222222,0.05425216045186709,0.5489444444444445,0.4633587115740079,4.0,HI-VAE_piecewise
0.005686423547429049,0.9588888888888888,0.022683062235984663,0.571388888888889,0.4112922994808755,5.0,HI-VAE_piecewise
0.004472985423471994,0.9631111111111111,0.01621217416476594,0.5733333333333334,0.3662045775146727,9.0,HI-VAE_piecewise
0.0062722457618778205,0.9562222222222222,0.04973276860811703,0.5674999999999999,0.44580074122038904,4.0,HI-VAE_piecewise
0.005213388893819135,0.9584444444444444,0.03177141809097545,0.5813333333333334,0.4832569027202933,3.0,HI-VAE_piecewise
0.0053130096292045665,0.9584444444444444,0.022214289659574674,0.5640000000000001,0.40305917718819795,2.0,HI-VAE_piecewise
0.004411309630276588,0.9675555555555556,0.028103730759630515,0.6014444444444444,0.44900375807884085,3.0,HI-VAE_piecewise
0.005989908455617411,0.9591111111111111,0.04223064444524034,0.5736666666666667,0.5104703585893133,1.0,HI-VAE_piecewise
0.0049059136319985945,0.9593333333333333,0.031263681714455725,0.5706111111111111,0.4157692217353902,2.0,HI-VAE_piecewise
0.004262636681949463,0.9684444444444443,0.024193869811215657,0.5605555555555556,0.4033683584709887,4.0,HI-VAE_piecewise
0.005889090343104348,0.9546666666666667,0.044137933079165595,0.6476666666666666,0.3679130235775987,4.0,HI-VAE_piecewise
0.006687354525244744,0.9533333333333333,0.03840308986816354,0.546,0.47969681879375636,5.0,HI-VAE_piecewise
0.005921873108607407,0.9535555555555555,0.025728351345423586,0.5852222222222222,0.45200996476601013,2.0,HI-VAE_piecewise
0.006325166406733374,0.9513333333333333,0.020823324379278065,0.6324444444444445,0.34327828171128005,6.0,HI-VAE_piecewise
0.007603901339978666,0.9499999999999998,0.050616288789987675,0.6190555555555555,0.40629359278431126,2.0,HI-VAE_piecewise
0.005217161120503321,0.956888888888889,0.028041167241197193,0.5770555555555557,0.30988372164711897,8.0,HI-VAE_piecewise
0.005037741356337057,0.9600000000000001,0.02344363729476627,0.5782777777777778,0.46092082843891896,2.0,HI-VAE_piecewise
0.006178133579200118,0.9517777777777778,0.04780320077132022,0.5611111111111111,0.44885352836348263,4.0,HI-VAE_piecewise
0.00516038301185839,0.9619999999999999,0.05131107957270008,0.5220555555555555,0.4496895099854601,4.0,HI-VAE_piecewise
0.005088336764926647,0.9604444444444444,0.040901481360148546,0.6287222222222223,0.5135775863679903,6.0,HI-VAE_piecewise
0.005127180611277539,0.9604444444444443,0.022414553477561813,0.6138888888888889,0.4444002483335228,3.0,HI-VAE_piecewise
0.0063924634645919605,0.957111111111111,0.0251462916488002,0.6175555555555555,0.2740257746051094,6.0,HI-VAE_piecewise
0.005019321642403406,0.9611111111111111,0.02904968468881184,0.5950555555555556,0.39027726623326375,2.0,HI-VAE_piecewise
0.005950796088580016,0.9575555555555554,0.03117481903422613,0.6108888888888888,0.3880877980394132,1.0,HI-VAE_piecewise
0.005154294285190779,0.9588888888888888,0.043995049383435965,0.5984999999999999,0.5064712164858148,5.0,HI-VAE_piecewise
0.005974417974212467,0.956,0.014431783039610185,0.552888888888889,0.42893535147494655,2.0,HI-VAE_piecewise
0.006077517404177364,0.9575555555555556,0.03513030246327917,0.5800555555555555,0.49020101697704715,3.0,HI-VAE_piecewise
0.006626322239386095,0.9520000000000001,0.04795291927602911,0.5443888888888889,0.4457967268463927,2.0,HI-VAE_piecewise
0.00454740987782046,0.9615555555555556,0.020925562019095914,0.5574444444444444,0.4433331196656737,1.0,HI-VAE_piecewise
0.005565021002533227,0.9611111111111111,0.0489503873935479,0.5868888888888889,0.46628420308905905,5.0,HI-VAE_piecewise
0.006729420282459442,0.9540000000000001,0.04995432105029752,0.5965,0.43232359000539217,4.0,HI-VAE_piecewise
0.004872362826249563,0.962888888888889,0.034639962753253775,0.6146111111111111,0.3188232821018558,10.0,HI-VAE_piecewise
0.007234194836052092,0.9491111111111111,0.04663856769251964,0.5730000000000001,0.39196302396259936,1.0,HI-VAE_piecewise
0.004751350569634413,0.9602222222222222,0.029417552397287636,0.5402222222222223,0.5631196126899992,3.0,HI-VAE_piecewise
0.005302719847049935,0.9624444444444442,0.04222079660965303,0.5978888888888888,0.41314961600684097,4.0,HI-VAE_piecewise
0.005115612137320696,0.9639999999999999,0.029206273727220185,0.5198888888888888,0.3426515895320981,7.0,HI-VAE_piecewise
0.005941659499834192,0.9593333333333333,0.03510827138379485,0.5916111111111111,0.3448556123782249,3.0,HI-VAE_piecewise
0.0062841860724969405,0.9553333333333334,0.04811552231784013,0.5778333333333333,0.35659017242105656,1.0,HI-VAE_piecewise
0.005229873226907005,0.9588888888888889,0.03428910185137649,0.5470555555555556,0.44793637419884524,2.0,HI-VAE_piecewise
0.005653979042300001,0.9582222222222221,0.0472120224338542,0.4960555555555556,0.3778280562876612,4.0,HI-VAE_piecewise
0.007091842670261145,0.9464444444444443,0.060347255307039716,0.6161111111111112,0.46046929916455837,6.0,HI-VAE_piecewise
0.0054835127561775445,0.958,0.016983732063193067,0.5872777777777778,0.40352220997905996,8.0,HI-VAE_piecewise
0.004761558264429907,0.9582222222222222,0.03493847960703381,0.5863888888888888,0.41282370035589866,2.0,HI-VAE_piecewise
0.005593247412377299,0.959111111111111,0.027795971007178493,0.6001111111111112,0.43049572608804626,1.0,HI-VAE_piecewise
0.0059295910010432225,0.9582222222222222,0.029464682740171933,0.5546111111111112,0.5465066176842782,1.0,HI-VAE_piecewise
0.006729759999070178,0.9564444444444444,0.02031386320287983,0.6172777777777777,0.4498481561640864,1.0,HI-VAE_piecewise
0.006972048394751555,0.9522222222222222,0.047511465885474856,0.627,0.39647618215878355,4.0,HI-VAE_piecewise
0.0054385987075906105,0.9593333333333333,0.03618129951324675,0.5997777777777777,0.4877191973342029,4.0,HI-VAE_piecewise
0.006356751131762403,0.9586666666666666,0.029119536157523735,0.6174999999999999,0.4253692180872761,4.0,HI-VAE_piecewise
0.004733532244386192,0.9662222222222222,0.03884761221546675,0.5756666666666667,0.39606956087983736,4.0,HI-VAE_piecewise
