,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
0,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,58.29708887085599,0.9894119052640629,0.09665002062848375,0.008199677072529254,0.9358811040339703,0.1310523068961306,0.676422110062663,0.38742102977793014,6.0,38.86618673538028,0.7891168182335537,0.09439652764979846,0.008576846663760731,0.9350318471337579,0.11650776878458954,0.6858605807914564,0.3636576310044899,5.0,0.32586434588220026,0.03059160784333777,0.08595493166596398,0.020923342258933185,0.8630573248407643,0.022408795773334277,0.9217410739684165,0.19044706726837,1.0,3.8047033979741656,-0.20154574539561773,0.08831592325249547,0.010471296496820296,0.9157112526539277,0.027945639944976453,0.7200034135518008,0.18376017799734615,1.0
1,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,40.93275861718799,0.8089604962066704,0.09422568188448738,0.007436430597655699,0.9346072186836518,0.11170720957102272,0.6938092799843952,0.4285940466622373,5.0,45.63119918687284,0.8617195689117396,0.09519730251352292,0.00786480189522977,0.9369426751592358,0.14416160244609036,0.6894659416932842,0.3215790894319803,9.0,0.7566225737170262,0.06306823325810662,0.08716053698539687,0.02158372176192657,0.8596602972399153,0.026785742198731897,0.9336047919765278,0.1938363482119034,3.0,3.9283941676920717,-0.20499622479122004,0.08803317053460571,0.009568144191255623,0.9174097664543527,0.02860914447055117,0.7259860694576517,0.15010005920260885,2.0
2,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,49.604145549136526,0.897429134514398,0.09489420409092544,0.007857219443494426,0.9354564755838642,0.10817732315047475,0.6815822625346435,0.32031631920353176,8.0,45.52340652186657,0.8653335797376734,0.09573944099320457,0.007640771915906119,0.9397027600849256,0.14044028034974448,0.6826494038475606,0.3391817635495917,9.0,0.45123766048578484,0.04096519974020971,0.08677406953447456,0.022688439619210802,0.8549893842887475,0.02727449103185932,0.9271637448288754,0.17991656593337002,2.0,2.5781482520045826,-0.1576247278328496,0.08889528606005978,0.009159886727320756,0.921656050955414,0.026160331731122366,0.741937922122254,0.12798068980615357,1.0
3,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,56.899610364151485,0.9759197702153803,0.09650835811921489,0.006884473654268188,0.9414012738853503,0.13822218803757702,0.715078145953722,0.41250733275947554,8.0,43.92667572704129,0.8318020300323119,0.09351326753599473,0.0067135947885669746,0.9439490445859875,0.1100290465944698,0.6741537236160893,0.3812473073208629,5.0,0.008684377638232812,-0.0009469325124413654,0.08759595108664867,0.020712756582222918,0.8653927813163481,0.028460189915680133,0.9337169515356919,0.17668491862357386,1.0,2.4077309473592403,-0.14707728429297412,0.08683221362790024,0.009826665234964822,0.9191082802547772,0.025251643783545153,0.6867285982493355,0.1786622045219933,3.0
4,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,42.50501539171876,0.8304216242662842,0.09493465230353401,0.0063242979514877545,0.9443736730360934,0.12344202726931804,0.6907915376425361,0.41293758264668035,6.0,48.74966827147458,0.8872128442486767,0.09476475999193174,0.006982912597501792,0.9445859872611465,0.13812892222607,0.6766122936629849,0.3901674397143541,7.0,0.7983382434939398,0.06545027719328896,0.08667108859057035,0.02006672781604648,0.8656050955414013,0.025292611742695564,0.9246824177699754,0.17920884263925618,3.0,5.09729678599677,-0.24167474397291272,0.08835106844696293,0.01056819107727212,0.9150743099787686,0.03129084874972899,0.7035281496110988,0.1333942794942399,2.0
5,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,51.38105767053886,0.9271005984213869,0.09638379120965823,0.0061589890596912035,0.9409766454352442,0.12498350679001491,0.7035557831256757,0.33105711940810123,8.0,37.780788623554926,0.7742957914632449,0.09397529966508683,0.0066745560978711226,0.9471337579617835,0.11504969662310947,0.6465754760685636,0.3450308665095582,7.0,0.8483503120837939,0.06862423411773805,0.08661826362642285,0.019665778803977286,0.872823779193206,0.025725003603257388,0.9047529645071888,0.1881482715889309,2.0,4.006350372067411,-0.20647787111243712,0.08758256296134982,0.009475056639170334,0.9231422505307857,0.027570851739256833,0.7346353595201521,0.17505803119026106,1.0
6,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,51.9053343426429,0.9224860360398561,0.09543928096234146,0.007596256607119513,0.9392781316348197,0.11444574088283066,0.7172798868651403,0.4381954030089619,6.0,34.069610222808386,0.7344483481975118,0.09393047280314554,0.007895216466043417,0.9356687898089171,0.10976204586625685,0.6574232560407676,0.3959984570699353,5.0,0.4629546526480581,-0.04196264183441848,0.08696782676438515,0.02036005722280674,0.8677282377919321,0.02539101690621214,0.9110265850665236,0.16709803153838437,2.0,2.870284539194451,-0.16636740547359247,0.08739470273947542,0.012131443690023364,0.9138004246284503,0.026586116478177064,0.7171384682905421,0.11400016846389432,1.0
7,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,36.930303545096024,0.7721049590925818,0.09471977953107076,0.006185104248636005,0.9443736730360934,0.11142431949809732,0.6932712392005786,0.3828121787480858,4.0,43.54109203968918,0.838854955193212,0.09475383134620302,0.006914099984315378,0.9464968152866242,0.12700743413336002,0.7214948105885125,0.3688153698862276,8.0,1.7571576887638796,0.11779457908927128,0.0864017611759695,0.022817066981463508,0.8556263269639065,0.023497840021283675,0.9260608424970945,0.18717844627396904,2.0,2.0492241028136364,-0.13262794273798115,0.08739147145741571,0.009179558786772173,0.9231422505307857,0.024054173129541355,0.6744113655019953,0.1555358317317112,1.0
8,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,42.68059578087007,0.820702192875056,0.09358644503038262,0.0056444567487986645,0.949044585987261,0.10557265023002892,0.6489096952998643,0.4263697825481382,9.0,44.76893349025419,0.8508987787802902,0.09483327927311176,0.008424725073884106,0.9386411889596604,0.1328730760094634,0.6911572753354627,0.4044183125813195,10.0,1.0268877881061627,0.07926628759802341,0.08627909533178203,0.021422170539861892,0.8573248407643312,0.023915726068490975,0.9264225164378773,0.21138889348639137,1.0,3.230549322372151,-0.18044968299032166,0.08777263865197861,0.010309096121169346,0.9229299363057325,0.02441858564883917,0.6803582603889823,0.16419721868764517,2.0
9,120,266,258,0.0057225016111656785,0.0,0.7597874871374004,0.06361855052442798,0.08762919300860651,49.22901448285919,0.9089196432520837,0.09658942449945482,0.006347467489914641,0.9443736730360933,0.13110042467540484,0.6862425734929575,0.4252311218305822,6.0,43.88641591410007,0.8320354558168637,0.09359990262741665,0.006609006002746743,0.9407643312101912,0.11876063681312535,0.726610261786913,0.28878883093363533,2.0,1.875808266033694,0.12430934633137394,0.08709325619528784,0.01760080660735859,0.8806794055201699,0.027250581698256095,0.920821040483099,0.18331908649059472,1.0,2.724480577982903,-0.16109047445812982,0.08757914885574365,0.010977006369019214,0.9142250530785563,0.025960706945753753,0.7156950235291248,0.14993613480269138,1.0
