,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise
0,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,12.868089151861987,0.42315566836918495,0.09061545469330053,0.005999121790473556,0.9520086862106407,0.0728915230413874,0.5734348501758721,0.4178074339959221,10.0,14.35185385665436,0.4532644797035908,0.09142953101760094,0.006304737648264406,0.9494028230184581,0.08618528348170179,0.6295136050485935,0.41102422218306595,13.0
1,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,17.39671062836513,0.5038794538732886,0.09158989313388836,0.006188869238414086,0.9520086862106406,0.09066452756660646,0.6142714589484503,0.4244494694850935,12.0,17.560034871715366,0.5007303881638245,0.09054349287520981,0.006567389077121418,0.9513572204125951,0.08263093720124719,0.6393657405852119,0.45266706366654297,10.0
2,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,8.916059363665187,0.33925461884922403,0.08924824028842959,0.006580098193102702,0.9511400651465799,0.05190820032785242,0.6398743201830513,0.5338618661194429,9.0,18.30059970567269,0.5144389043684873,0.09099222765352859,0.006045144160053826,0.9474484256243213,0.08905865283385046,0.6425553278612034,0.5047649839731007,11.0
3,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,11.967267465469368,0.4041500753150243,0.0900955625272788,0.006042959960909806,0.9487513572204125,0.06476040039073272,0.6068088698770326,0.4258480937422341,13.0,13.160047500021703,0.42580036117953346,0.09005769305958682,0.005586422173530551,0.9559174809989143,0.06740589702241466,0.5968270232136258,0.4702532848552438,12.0
4,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,15.625690619630555,0.47206988622752405,0.09089657446027748,0.00536807641028209,0.9541802388707926,0.08534517290085764,0.6164619283845273,0.3965159406111309,13.0,14.307408593506274,0.45104633264755517,0.09113863662717162,0.004996794734698113,0.9561346362649296,0.07912155879875322,0.6073193158220203,0.4148050016606968,11.0
5,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,17.056935950691017,0.49808595064156563,0.0915018346776371,0.0055371694423037516,0.9541802388707927,0.09317671623657685,0.5943964171111683,0.5244927220146081,10.0,15.834123451787523,0.4780311729690487,0.0914209225004889,0.007358229266071144,0.9470141150922908,0.08244109388478627,0.5790049632391824,0.37061646266401627,5.0
6,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,12.254679214209276,0.4105889287099065,0.09033345877051278,0.006474952936375815,0.945928338762215,0.06321187470135575,0.6125597075558441,0.3709839657939566,8.0,16.16501852036115,0.4790836579329287,0.0905949226664551,0.005461378379200451,0.956786102062975,0.07611390003786857,0.5913262760526509,0.35060917202828346,10.0
7,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,16.856242218044887,0.4873006323196239,0.09006110598681275,0.00637816101212436,0.951357220412595,0.07737936924441237,0.5895121866247609,0.5249819296972438,12.0,24.993691738513544,0.6107992227645052,0.09163543128204645,0.007023828826535606,0.9441910966340934,0.10965827865526316,0.5972565941155319,0.4626889158495579,14.0
8,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,12.015868826679704,0.4021659384936237,0.0894425784098047,0.006621132565983857,0.950054288816504,0.05807759829718624,0.5830253860539076,0.458848561449682,7.0,21.006622072326728,0.5501778989475872,0.09041303079435101,0.00547349598704383,0.9487513572204125,0.09082129392672793,0.6484106809803052,0.5129230284577625,13.0
9,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,13.92088977313457,0.443547169684414,0.09097303614592706,0.0068273246634548085,0.947014115092291,0.0749094474613925,0.6436378092070637,0.3828369732193397,9.0,10.498517207692334,0.37556589524541434,0.0900721430656539,0.00621420908569962,0.950488599348534,0.06101656683380807,0.5815879876920628,0.5046449637929941,10.0
