,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull
0,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.910259814719303,0.2731407010744499,0.07425612501810097,0.08870436154648383,0.00921163069354941,0.9359999999999999,0.04235237249079204,0.5145,0.5156592488387228,3.0
1,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,1.8121777162832493,0.649300180423676,0.12488365158997436,0.08963817494826842,0.009387144670972007,0.936,0.046417797831672936,0.44700000000000006,0.48219811869169327,7.0
2,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.08738272269294575,0.2496094782118543,0.009221771197849395,0.08799398371445473,0.011213076823368603,0.9233333333333335,0.023488075975654284,0.518,0.5135150338588069,4.0
3,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.24088485974302984,0.4792265240245854,-0.024147852781690012,0.08891278235970806,0.009054725699437736,0.934,0.0342177711904837,0.45299999999999996,0.5173570544955217,3.0
4,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.03312727080895521,0.31890263004233277,-0.0035924521966731737,0.08816297874458671,0.010206428934600097,0.9320000000000002,0.028228682276058674,0.5225,0.49135831392312673,7.0
5,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.01406870819800476,0.3202205606309314,-0.001556132779486074,0.0890940761678531,0.009812914887945395,0.9373333333333332,0.022305244032771007,0.514,0.5219564060183395,3.0
6,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,1.468959870520292,0.44418739161950976,0.10629868367700164,0.08862771265893078,0.009397799733477931,0.9433333333333334,0.018640731574242207,0.457,0.4263811831668415,5.0
7,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.2490905121012824,0.08974581612925171,0.025001159456488384,0.08930540141301904,0.011001763969677385,0.92,0.04571806384265646,0.5589999999999999,0.46990011392012837,5.0
8,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,2.6761516616098273,1.1849908633440216,0.16279710852065135,0.08956640279190363,0.007936841614502362,0.9440000000000002,0.028461505156811846,0.492,0.49736131825017943,7.0
9,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,1.1374518261885174,0.39844738781898276,0.08816821165401587,0.08880449036512886,0.010171257949833219,0.9346666666666666,0.028803768356053337,0.44799999999999995,0.5301707656256589,5.0
10,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,1.603329778185577,0.557271691417295,0.11329083698175861,0.08868879238448552,0.010088813182632213,0.9286666666666668,0.03870197845041193,0.512,0.4210513085256673,3.0
11,180,258.0,253,0.0034266868486105538,0.0,0.3333333333333333,0.17932935928801172,0.02592473354981653,0.12510500708360114,0.514151365221088,0.7387087531317945,-0.04663563308394714,0.0884557200459279,0.010609758910790522,0.9273333333333335,0.033232019998193266,0.634,0.5061051830931409,3.0
