name,type,dim,nclass
survcens,surv_piecewise,2,
SEX,cat,1,2
AGE,real,1,
RACE,cat,1,5
PRHNTRTC,cat,1,2
CARBOADD,cat,1,1
CARBO2D,cat,1,1
B_ECOG,cat,1,3
DIAGTYPE,cat,1,4
