,XP_num,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE,log_pvalue_HI-VAE_weibull_prior,log_pvalue_control_HI-VAE_weibull_prior,est_cox_coef_HI-VAE_weibull_prior,est_cox_coef_se_HI-VAE_weibull_prior,J-S distance_HI-VAE_weibull_prior,KS test_HI-VAE_weibull_prior,Survival curves distance_HI-VAE_weibull_prior,Detection XGB_HI-VAE_weibull_prior,NNDR_HI-VAE_weibull_prior,K-map score_HI-VAE_weibull_prior,log_pvalue_HI-VAE_piecewise_prior,log_pvalue_control_HI-VAE_piecewise_prior,est_cox_coef_HI-VAE_piecewise_prior,est_cox_coef_se_HI-VAE_piecewise_prior,J-S distance_HI-VAE_piecewise_prior,KS test_HI-VAE_piecewise_prior,Survival curves distance_HI-VAE_piecewise_prior,Detection XGB_HI-VAE_piecewise_prior,NNDR_HI-VAE_piecewise_prior,K-map score_HI-VAE_piecewise_prior
484,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,0.0030560947928977567,0.0536774938963096,0.0002897791037364481,0.09131758181260194,0.004617126017302992,0.9716783216783217,0.026069629711178422,0.8575073964497042,0.10654991813861944,1.0,0.10944682266609587,0.2890893220446083,-0.011178372473404691,0.09103879259656039,0.004664633423173866,0.9688811188811189,0.02352649130891191,0.8335059171597633,0.14405409987690643,4.0,1.9818788990517267,3.504188221471332,-0.13449012347348005,0.09086265068235083,0.011524991377591842,0.9293706293706294,0.04097307878907788,0.9091715976331362,0.0900098951330976,1.0,0.13832840190285803,1.01356878885147,-0.014382604715806676,0.09204672828948644,0.009161960314235627,0.936013986013986,0.037328126794898116,0.8627958579881657,0.048858741333926196,1.0,0.12155317008864147,0.10274490432266557,0.013692882809586028,0.09091843362059089,0.004368448310978113,0.9748251748251747,0.04014732199204623,0.8330251479289942,0.13071169774357178,3.0,0.17673388813222443,0.33029680482227664,-0.017759850721768156,0.08994868767370309,0.003861182353825145,0.9737762237762237,0.016641073183889202,0.8372041420118344,0.12271757553725357,1.0
485,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,1.6391834431708152,1.8011170435542811,0.11975195883838707,0.09179623469171855,0.005354459484851539,0.968181818181818,0.04428143699684308,0.8481508875739644,0.07906606924862877,1.0,0.47537181256478855,0.3920063483468631,0.04562195151975331,0.09116098179244363,0.00439661174768099,0.972027972027972,0.016620820799317877,0.8526627218934912,0.12575982872117641,3.0,3.6406058583495713,5.9297680570448845,-0.20272380122517408,0.09140458078467585,0.009823043224835985,0.9409090909090909,0.0778444354423514,0.9090236686390533,0.05455082970324237,1.0,1.3767236432438428,0.6686142328898199,0.10623319575989162,0.09236968506148269,0.01059901810445903,0.9342657342657343,0.03465968455336507,0.8390532544378697,0.06373167621377046,1.0,0.8765031786317294,0.8117875386525136,0.07493041205388129,0.09141292533788627,0.0032053662239773075,0.9783216783216784,0.025497025584217806,0.8538461538461537,0.09068153139501638,2.0,0.1327810378176134,0.05092422727008281,0.014752376534911496,0.0904673922175279,0.0027098773669994736,0.9804195804195803,0.014455910890185587,0.8213757396449705,0.15612147494351072,2.0
486,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,2.0560087962152687,2.160101741100551,0.14019427123258935,0.09176672772364491,0.005807480765415018,0.9629370629370629,0.06700571139933618,0.8971523668639053,0.12801231572721275,4.0,1.567766557442389,1.649556258055956,0.11497951674883654,0.09098522278416421,0.0036865267920002266,0.9769230769230769,0.03337517676318108,0.8359467455621303,0.11321678323652588,4.0,2.772434820955959,4.77646485510672,-0.16975588672911807,0.09127573410378688,0.01246684675308521,0.9325174825174826,0.07081765943281965,0.9213387573964497,0.05204498596785512,1.0,0.6224133167277646,0.01776815070729139,0.05738785604159395,0.09222659694735683,0.012174351995668525,0.9265734265734266,0.030610371953106695,0.8901997041420119,0.0670760748841701,1.0,0.4337481815397325,0.26768078235119047,0.04210889486058204,0.09087632707772147,0.003579450848607049,0.9755244755244754,0.01771602747292998,0.8263313609467456,0.1597245422515904,2.0,3.2916309156948365,3.2718505437164946,0.19205162724752448,0.09201568998091504,0.004896274436559529,0.9674825174825176,0.0594723547130476,0.8415680473372781,0.24444779531378324,5.0
487,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,1.8289714465710294,1.9959911368664514,0.12920511324538278,0.09170143020797121,0.004977113898679894,0.9688811188811189,0.03468874740688514,0.8533284023668639,0.10530796063229048,3.0,1.3175194166798279,1.2937177245245914,0.10109420350968373,0.09071394711445797,0.00539456286590564,0.9664335664335664,0.03488660038465329,0.8580621301775148,0.19167094521530872,4.0,3.309229322331102,5.614004926284561,-0.19117638122138775,0.09173942234942989,0.010655208929983999,0.9367132867132867,0.09449703262180628,0.8993343195266273,0.056423983404325063,2.0,0.6108369523713761,0.043956557762261345,0.05653796106586299,0.09204893473031472,0.011504517061828468,0.9276223776223774,0.033507380206872814,0.8630917159763314,0.061728778025446476,4.0,0.41867111331834933,0.309783706986591,0.04063133698413436,0.09037780877324134,0.0036512293663730367,0.9751748251748252,0.03193795501617364,0.8491863905325443,0.09935854751297685,2.0,2.296275523609725,2.377477827763237,0.15024996149907835,0.09122890844819379,0.0041731294307605195,0.9688811188811187,0.03320197322281861,0.8505547337278108,0.06347976292850073,3.0
488,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,0.6800035856805937,0.6651834103170633,0.06140235832420617,0.09151083892268515,0.004490207128384003,0.975174825174825,0.02458910192881672,0.8493343195266274,0.12180203432549375,1.0,0.7230422189258348,1.105528150262555,-0.06224998822058776,0.0901444590010082,0.0037527134321385905,0.9762237762237763,0.011682398981300881,0.8578032544378699,0.1940260219323354,3.0,4.996267913003326,7.591037501513571,-0.24610839702030685,0.09114670098820135,0.01137583514129479,0.9307692307692307,0.07632699876009146,0.9392751479289941,0.06654327864077121,1.0,1.485419284116216,2.7687624058987086,-0.10988972325186844,0.09127063388254135,0.008717381746948713,0.9447552447552447,0.04217938570815309,0.8654585798816568,0.050900644232688606,1.0,0.09303232592309363,0.07654235513165315,0.010772725042006895,0.09105873126801298,0.00476675284294361,0.9727272727272727,0.022021599497318876,0.8474112426035504,0.11476871099060121,1.0,3.505475795892466,3.587263644152881,0.1983504013108133,0.09129011163254512,0.004647501268011358,0.9685314685314684,0.055822854231136365,0.8660502958579881,0.19249157026976868,4.0
489,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,1.3050031755633817,1.6359825342069774,0.10104620066285706,0.09130515368884026,0.004742881826066514,0.9716783216783216,0.05254931636520102,0.8518491124260354,0.10715506784734712,3.0,0.12354598592122,0.28299734673736304,-0.012513155401696091,0.09015804830113956,0.0033352060925151985,0.9772727272727273,0.013268206387705138,0.8229289940828401,0.11118474987795213,2.0,2.172585416454709,3.9201304859254154,-0.14400371164027612,0.09122075548332623,0.011338565334546125,0.9370629370629371,0.06325656770687424,0.9308431952662722,0.04871588643576226,1.0,0.4675919176742549,0.1471306847752508,0.045602825906721114,0.09246137990852876,0.013859311028252047,0.91993006993007,0.041712610237704235,0.8731508875739646,0.08465025754657202,1.0,0.10859477344662313,0.1439737770688989,0.012300672818976257,0.09049931189949388,0.0033717938227839123,0.9769230769230769,0.038483167676236385,0.8772189349112425,0.11678207313846593,2.0,2.2830668713323665,2.230690650445553,0.14977806437516283,0.09129625618593966,0.005054517600437663,0.9646853146853146,0.05008781400906121,0.8270340236686391,0.19395108850310255,3.0
490,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,0.2143963819510229,0.22888193007890323,-0.021627854807886787,0.09123963193479309,0.00425322653181051,0.9737762237762237,0.027889293555511476,0.8336538461538462,0.08980755896636655,2.0,1.569466271760466,1.4161081455641578,0.11513858415699393,0.09103452408012926,0.005771169104740836,0.9657342657342657,0.034696355196043985,0.883801775147929,0.16962054405323512,5.0,1.6394079399999186,2.9289142339384746,-0.11792378889258637,0.09092886961557194,0.010959005685814302,0.9384615384615386,0.043495454455101584,0.9289940828402367,0.06555239722500118,1.0,0.47656276940291725,1.3676831409734602,-0.04469342984144676,0.09123665256990682,0.009274182783697908,0.9388111888111887,0.04501204765122819,0.8532914201183432,0.05137961731936801,1.0,0.4028372437308332,0.2535286185931767,0.0396052562767309,0.09099374858257893,0.003811401643270311,0.9727272727272727,0.0166319954255831,0.8464866863905327,0.1294823995639286,3.0,0.312162661911218,0.25391192651141636,0.031485382689701115,0.09007461206800442,0.003984569196412301,0.9765734265734266,0.023167855769618675,0.8355029585798818,0.1485113381060522,2.0
491,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,1.6510832894397374,1.726939684090741,0.12038524057141722,0.0918101872696055,0.004927834662583328,0.974125874125874,0.04601485709347507,0.8386094674556211,0.11954532724156049,4.0,0.5504718744234353,0.47814546255276,0.05124170748206265,0.0906863632634686,0.003409095991028112,0.9783216783216784,0.03546989996280642,0.8337647928994082,0.22746600510361553,6.0,1.554520182903239,3.1178401890338336,-0.11355217862583561,0.09095416669405515,0.012327891146734916,0.9276223776223774,0.06543596359152232,0.9163461538461538,0.10259057499750387,1.0,0.08082730744628012,0.42358889542229583,0.009396509605176066,0.091142747608577,0.008295093263987694,0.9444055944055944,0.03640563680103454,0.8927514792899409,0.09456217379086516,1.0,0.1224683476386754,0.10617078664082188,0.0137151403239601,0.0905311672617193,0.0029633690459932773,0.979020979020979,0.033515500884356286,0.8391272189349113,0.14456261999492495,3.0,0.3118266083696618,0.18142309486048402,0.0316836946331516,0.09070620655940778,0.004483497286425274,0.9751748251748252,0.016993093115868135,0.8491494082840237,0.1633270640702773,4.0
492,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,0.012945268810605308,0.03561628862262931,-0.0008208289417450574,0.0911186867821834,0.005740592981238057,0.9688811188811189,0.025260625304574562,0.8338757396449704,0.10563847864533712,1.0,0.059245680909768506,0.05106743000614267,0.007151571694632422,0.09052443013299084,0.003833583437030419,0.9762237762237761,0.01340394230929918,0.8704142011834319,0.1539069447717205,2.0,1.6235108950117167,3.0305139305446054,-0.11694297338876904,0.09100808971631724,0.009952096530424902,0.9416083916083917,0.03995818517910306,0.9345044378698224,0.09283004255381593,1.0,0.6958886334725898,1.6435110922251197,-0.061738245055846255,0.09201240979135933,0.010071923573987574,0.9353146853146851,0.042658320461796365,0.8701923076923078,0.06109946054111496,1.0,0.8870016063241322,1.097258594741326,0.07540510644043967,0.09116042183591115,0.004401942652350511,0.9716783216783217,0.04972027434646619,0.8458579881656805,0.13674039754268905,3.0,0.46265826944409755,0.23765384942659495,0.044756326652816945,0.09147353290187014,0.005079231540437578,0.9702797202797201,0.011809348210689794,0.8008136094674556,0.09144046190210585,3.0
493,2,0.4,0.1596995462998678,0.018048629825554902,0.09719256575076071,0.1537695383882461,0.054396809779749616,-0.015552625212342401,0.09033483988806558,0.004263814185489922,0.9751748251748252,0.037226206136649925,0.8448224852071006,0.11631797637693772,4.0,0.0003291615156227934,0.07089696985027197,0.0006415797192102574,0.09059557988566853,0.003614264296320917,0.9748251748251747,0.016004710992158992,0.82551775147929,0.14189028511334437,1.0,3.3507392894924806,5.5147560928692165,-0.19201637946750147,0.09134004797725591,0.008941606521543284,0.9416083916083916,0.06016986737084244,0.9211168639053255,0.08078048823996661,1.0,0.25300228631025307,1.0044100042717834,-0.025305611502855135,0.0911552472967895,0.011403758622499843,0.9349650349650349,0.034651699566614,0.8590976331360947,0.11428430840193261,1.0,0.5964317521752867,0.5172386565288787,0.054690675582011225,0.09064474205510033,0.003966051308413938,0.9758741258741257,0.027175200264413498,0.8730769230769232,0.12804183380521814,2.0,0.6286331003531247,0.49796991535622964,0.05719579905213878,0.09082435986883058,0.0052302897830917424,0.9699300699300699,0.020230431275180562,0.8157914201183433,0.22198119087866217,4.0
